session,component,duration
52,Training,808.7810876369476
51,Evolution (LLM),1838.3926029205322
51,Compilation (LLM),57.376354694366455
53,Training,730.044600725174
54,Training,781.8356287479401
53,Evolution (LLM),1581.2993638515472
53,Compilation (LLM),59.289082527160645
55,Training,622.0533130168915
56,Training,703.9474897384644
55,Evolution (LLM),1779.455772638321
55,Compilation (LLM),46.85815238952637
57,Training,617.9960381984711
58,Training,679.6621534824371
57,Evolution (LLM),1676.3359141349792
57,Compilation (LLM),65.2317476272583
59,Training,607.970344543457
59,Evolution (LLM),1315.8486342430115
59,Compilation (LLM),67.75240802764893
60,Training,814.7995352745056
61,Training,792.2412374019623
61,Evolution (LLM),1443.843241930008
62,Training,708.6648907661438
61,Compilation (LLM),70.13749670982361
63,Training,598.4889018535614
64,Training,773.0152304172516
63,Evolution (LLM),1538.0670742988586
63,Compilation (LLM),51.485445499420166
65,Training,699.0261545181274
65,Evolution (LLM),1347.155816078186
66,Training,690.5644843578339
65,Compilation (LLM),75.22008967399597
67,Training,594.3578729629517
68,Training,694.0172140598297
67,Evolution (LLM),1614.1918151378632
67,Compilation (LLM),61.129353761672974
69,Training,631.158849477768
70,Training,754.3551087379456
69,Evolution (LLM),1440.0698368549347
69,Compilation (LLM),64.67830872535706
71,Training,679.7951452732086
72,Training,689.5547533035278
71,Evolution (LLM),1504.6524801254272
71,Compilation (LLM),56.17779564857483
73,Training,599.0573949813843
74,Training,603.1377515792847
73,Evolution (LLM),1294.5986092090607
73,Compilation (LLM),58.315951347351074
75,Training,698.3733696937561
76,Training,597.3077387809753
75,Evolution (LLM),1494.2090244293213
75,Compilation (LLM),60.062689781188965
77,Training,682.6340746879578
78,Training,564.2036015987396
77,Evolution (LLM),1712.0593037605286
77,Compilation (LLM),47.45834970474243
79,Training,764.6598646640778
80,Training,693.0500438213348
79,Evolution (LLM),1580.0862464904785
79,Compilation (LLM),65.06413173675537
81,Training,725.4338006973267
81,Evolution (LLM),1484.6113109588623
82,Training,763.2231316566467
81,Compilation (LLM),75.6271858215332
83,Training,759.2567481994629
83,Evolution (LLM),1172.7674453258514
83,Compilation (LLM),65.1784725189209
84,Training,656.9515724182129
85,Training,799.2283353805542
85,Evolution (LLM),1105.3986213207245
85,Compilation (LLM),67.19251680374146
86,Training,588.1888144016266
87,Training,666.4347846508026
87,Evolution (LLM),1007.3090450763702
87,Compilation (LLM),68.50997829437256
88,Training,684.1456413269043
89,Training,673.72682929039
89,Evolution (LLM),1112.9515912532806
89,Compilation (LLM),65.97138047218323
90,Training,746.2170691490173
91,Training,698.486958026886
91,Evolution (LLM),1333.5734746456146
92,Training,682.9440078735352
91,Compilation (LLM),65.42641639709473
93,Training,684.2675890922546
94,Training,606.0542607307434
93,Evolution (LLM),1557.2344796657562
93,Compilation (LLM),65.11748313903809
95,Training,807.3155572414398
96,Training,689.1853141784668
95,Evolution (LLM),1995.7747294902802
95,Compilation (LLM),63.37608790397644
97,Training,788.7925019264221
98,Training,803.921867609024
97,Evolution (LLM),1937.4608693122864
97,Compilation (LLM),60.665764808654785
99,Training,797.1153302192688
100,Training,605.8609790802002
99,Evolution (LLM),1767.270275592804
99,Compilation (LLM),64.27692246437073
101,Training,675.0823407173157
102,Training,707.6160550117493
101,Evolution (LLM),1843.7768564224243
101,Compilation (LLM),63.58438801765442
103,Training,585.7081353664398
104,Training,733.5732288360596
103,Evolution (LLM),1616.4357454776764
103,Compilation (LLM),62.42562794685364
105,Training,607.1192412376404
106,Training,586.1919357776642
105,Evolution (LLM),1733.5737721920013
105,Compilation (LLM),61.033623695373535
107,Training,616.2958309650421
108,Training,606.5251996517181
107,Evolution (LLM),1751.278612613678
107,Compilation (LLM),67.10307192802429
109,Training,591.8184645175934
110,Training,582.3441989421844
109,Evolution (LLM),1510.7624380588531
109,Compilation (LLM),63.223551511764526
111,Training,814.2883536815643
112,Training,598.1256833076477
111,Evolution (LLM),1565.8880987167358
111,Compilation (LLM),63.45234513282776
113,Training,588.8754651546478
114,Training,735.3128321170807
113,Evolution (LLM),1636.5499799251556
113,Compilation (LLM),59.689420223236084
115,Training,652.1066703796387
116,Training,729.3755295276642
115,Evolution (LLM),1513.7051408290863
115,Compilation (LLM),58.01946759223938
117,Training,595.1928894519806
118,Training,691.9708209037781
117,Evolution (LLM),1530.0751159191132
117,Compilation (LLM),54.889846324920654
119,Training,637.0800824165344
120,Training,667.1356983184814
119,Evolution (LLM),1614.6196229457855
119,Compilation (LLM),65.9904420375824
121,Training,687.2752249240875
122,Training,639.237624168396
121,Evolution (LLM),1466.412776708603
121,Compilation (LLM),62.89119791984558
123,Training,558.8247394561768
124,Training,624.788164138794
123,Evolution (LLM),1668.6727049350739
123,Compilation (LLM),59.1178092956543
125,Training,642.6873211860657
126,Training,622.971471786499
125,Evolution (LLM),1570.9281661510468
125,Compilation (LLM),66.1430675983429
127,Training,670.3681645393372
128,Training,611.7240612506866
127,Evolution (LLM),1636.8515503406525
127,Compilation (LLM),65.76018595695496
129,Training,596.607362985611
130,Training,675.1496965885162
129,Evolution (LLM),1549.4695882797241
129,Compilation (LLM),63.46514058113098
131,Training,612.287246465683
132,Training,704.7345128059387
131,Evolution (LLM),1474.7941284179688
131,Compilation (LLM),65.42212986946106
133,Training,601.9519100189209
134,Training,578.3428657054901
133,Evolution (LLM),1788.4355511665344
133,Compilation (LLM),62.84289813041687
135,Training,622.8401055335999
136,Training,598.6036458015442
135,Evolution (LLM),1498.2216351032257
135,Compilation (LLM),67.0703637599945
137,Training,614.6489992141724
138,Training,778.8632910251617
137,Evolution (LLM),1585.49773812294
137,Compilation (LLM),60.72635293006897
139,Training,601.0797624588013
140,Training,611.7970268726349
139,Evolution (LLM),1744.0196223258972
139,Compilation (LLM),57.5527708530426
141,Training,708.6121673583984
142,Training,699.219203710556
141,Evolution (LLM),1446.2094855308533
141,Compilation (LLM),66.2541081905365
143,Training,785.8506865501404
143,Evolution (LLM),1319.6391906738281
143,Compilation (LLM),58.50154447555542
144,Training,612.9060022830963
145,Training,568.7874937057495
146,Training,789.7718296051025
145,Evolution (LLM),1407.6447818279266
145,Compilation (LLM),66.84892225265503
147,Training,581.476574420929
148,Training,682.7618718147278
147,Evolution (LLM),1576.2565863132477
147,Compilation (LLM),67.36377048492432
149,Training,557.7124989032745
150,Training,618.3147203922272
149,Evolution (LLM),1339.1550920009613
149,Compilation (LLM),63.68684244155884
151,Training,531.7412784099579
