slot_id,repeat,arm,model,provider,prompt_index,status,posts_used,initial_valid,final_valid,attempts,repair_requests,repair_success,empty_response,timeout,connection_error,http_4xx,http_5xx,invalid_json,extract_error,syntax_error,api_enum_error,inventory_error,dangerous_import,dangerous_capability,cpu_jax_error,duplicate_code,fatal_api_blocked,prompt_tokens,completion_tokens,cached_tokens,generation_wall_s,repair_wall_s,cpu_validation_wall_s,final_code_sha256
slot_r2_large_p02,2,large,deepseek-v4-flash,deepseek_official,2,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59941,1725,59904,12.201732,0.0,24.717355,006c5f405a7887039a81a7ce2e7b364f622b331783341c81beffa52e3392ef78
slot_r2_large_p03,2,large,deepseek-v4-flash,deepseek_official,3,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59902,1646,59776,10.892378,0.0,25.06632,ddedf74513f7c1daf367a16289a4fdd972318d9f9c8fc6d00791f7a9c24e1445
slot_r2_large_p04,2,large,deepseek-v4-flash,deepseek_official,4,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60117,5753,60032,42.935475,0.0,25.937283,05b11666973029e7359af000eaadea3f7820b176d036c0b5ed1d87d41d4f9d00
slot_r2_large_p05,2,large,deepseek-v4-flash,deepseek_official,5,completed,3,False,True,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False,205216,22545,203904,201.617181,117.415501,34.693139,333f1e2b38e5ee75f705addb2a8417b85fc59059c9b4fa2cb5ed6ad430748d67
slot_r2_large_p06,2,large,deepseek-v4-flash,deepseek_official,6,completed,3,False,True,3,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,False,204098,19590,204032,152.564619,93.705788,25.211964,2635a39acc9b3ab39b1d9376ab760e3f3103fd71cf86ae550e1624d6b6f2df72
slot_r2_large_p07,2,large,deepseek-v4-flash,deepseek_official,7,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60013,8136,59904,69.67595,0.0,26.005901,94d50176a5eb85798d3f0e8f400aaa91952add4938282bb82c85a2ba53dc5993
slot_r2_large_p08,2,large,deepseek-v4-flash,deepseek_official,8,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60000,3697,59904,23.012826,0.0,25.480446,26b1dd46d88fabe6682625c4fb322668b1cf28f5b258bd7df2a3c83c72ac2715
slot_r2_large_p09,2,large,deepseek-v4-flash,deepseek_official,9,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60057,6523,60032,43.559215,0.0,26.727053,8c71f53d31540243c34a79d8c10eaf28d3645b19c4e341909f099860d00e3524
slot_r2_large_p10,2,large,deepseek-v4-flash,deepseek_official,10,completed,3,False,True,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,False,204441,16519,204032,123.096514,65.070516,36.766105,edcc1edb0a0340835d77a593c454ed84be187083c7a5df86028dd6e5dcc1e12e
slot_r2_large_p11,2,large,deepseek-v4-flash,deepseek_official,11,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132207,13014,132096,123.452708,43.850119,24.836674,f61e07838c39786389904145b0cfb0ed81b2734c34fb16467925f4a2f5362dac
slot_r2_small_p00,2,small,qwen2.5-coder:14b,ollama,0,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,821,0,32.399504,0.0,26.199991,effd18c278c3c13675a8d4aafeabeb7bc460a7ab6f291c258e48f1bb8bcfb0fa
slot_r2_small_p01,2,small,qwen2.5-coder:14b,ollama,1,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,860,0,33.538784,0.0,26.118462,ee55126dd68bea5563ec5f7d9cccaf14049a5efce6b7e3c438edfdf5dd47c329
slot_r2_small_p02,2,small,qwen2.5-coder:14b,ollama,2,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,733,0,30.432696,0.0,26.089377,549bd6eedd5b04b3f56e957546f5570e0293d4bd9eeb234e34fc93656db8af6b
slot_r2_small_p03,2,small,qwen2.5-coder:14b,ollama,3,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,673,0,28.905747,0.0,25.804176,ffb3518c368ae4f5ef202a05ee90fd34eaf8571cdf9a7124a0647912992ac552
slot_r2_small_p04,2,small,qwen2.5-coder:14b,ollama,4,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1232,0,42.715355,0.0,25.528777,e4ea5f70b805e9b4ff61281169c9bad4f1654ff57bc1e3bcc7adfefaea4a8202
slot_r2_small_p05,2,small,qwen2.5-coder:14b,ollama,5,completed,3,False,False,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,False,49158,2743,0,105.260985,70.388039,0.0,
slot_r2_small_p06,2,small,qwen2.5-coder:14b,ollama,6,completed,3,False,False,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,False,49158,2764,0,106.220854,71.235413,28.893057,
slot_r2_small_p07,2,small,qwen2.5-coder:14b,ollama,7,completed,2,False,True,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,32772,1990,0,74.349093,37.241127,25.230975,719f87a58a4251f875b8d26b89528e16dc6c22cf71b442d44c564842c5c4bb67
slot_r2_small_p08,2,small,qwen2.5-coder:14b,ollama,8,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,848,0,33.397497,0.0,25.251217,ddb5573fca97c0fdf661812efae960f8973ac15e96f88e902bec486fc9d95116
slot_r2_small_p09,2,small,qwen2.5-coder:14b,ollama,9,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1111,0,39.62507,0.0,26.148577,a1deff1fe5715abf2fc6fa3730216b3b3775d933aa30826422f92154490c2c31
slot_r2_small_p10,2,small,qwen2.5-coder:14b,ollama,10,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1152,0,40.797482,0.0,25.112448,0680e3e678e0b6613e000a8fb648203fdc5a4b295f4f93491a16128699669b49
slot_r2_small_p11,2,small,qwen2.5-coder:14b,ollama,11,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1292,0,44.235164,0.0,27.676717,d45f83eb8ad9ac860b02e10ec048553e76c9e8e13a7d4e26b9f62ac6d987c219
slot_r3_small_p00,3,small,qwen2.5-coder:14b,ollama,0,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,821,0,32.523946,0.0,25.81836,effd18c278c3c13675a8d4aafeabeb7bc460a7ab6f291c258e48f1bb8bcfb0fa
slot_r3_small_p01,3,small,qwen2.5-coder:14b,ollama,1,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,807,0,32.254806,0.0,25.391352,7f5ff5c02346840af0d2c7fd9f84687a9058996e302737eb653312ba0740c77e
slot_r3_small_p02,3,small,qwen2.5-coder:14b,ollama,2,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,730,0,30.235487,0.0,25.140069,3e5a535697932531fa3cb443dbfc4190a2077ea441d22804ee90302ad15bb01b
slot_r3_small_p03,3,small,qwen2.5-coder:14b,ollama,3,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,651,0,28.611615,0.0,24.358962,62db08e73708d2b9c9bd36b594b775f449fd4a9503ea4f69e00109b31d8981d0
slot_r3_small_p04,3,small,qwen2.5-coder:14b,ollama,4,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1177,0,41.255588,0.0,25.762229,52172de6701928b200bde0531f223edba62705b28ff51e53318d4c93d93280a3
slot_r3_small_p05,3,small,qwen2.5-coder:14b,ollama,5,completed,3,False,False,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,False,49158,2724,0,104.969354,70.079571,0.0,
slot_r3_small_p06,3,small,qwen2.5-coder:14b,ollama,6,completed,3,False,False,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,False,49158,3244,0,118.142762,78.822582,0.0,
slot_r3_small_p07,3,small,qwen2.5-coder:14b,ollama,7,completed,3,False,True,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,False,49158,2934,0,98.267886,61.571309,24.901831,ba8db75d7c981e354db8c03e6664985ba635383705346061b20f6244ac1be384
slot_r3_small_p08,3,small,qwen2.5-coder:14b,ollama,8,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,735,0,30.786481,0.0,25.069328,3ae8d8323d5edf4f32926bec83e9a761b7cf517173ddffc0a7fa2fc7d9a7b97f
slot_r3_small_p09,3,small,qwen2.5-coder:14b,ollama,9,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1077,0,38.803358,0.0,25.829699,020fd474898371196f654d301f464ddb038cb2314aaffd73cafbd0e329bfd036
slot_r3_small_p10,3,small,qwen2.5-coder:14b,ollama,10,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1192,0,41.66174,0.0,25.729144,8b743b99753b232a9edb0167125a760b59a93a36b078c46d625cef03bc123121
slot_r3_small_p11,3,small,qwen2.5-coder:14b,ollama,11,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,16386,1354,0,45.623357,0.0,26.225875,2daf8e698e28a8af8e94bb032826d20f157505a1d780a2645d93634a2a63f7a7
slot_r3_large_p00,3,large,deepseek-v4-flash,deepseek_official,0,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59953,1036,59904,7.400231,0.0,25.452771,2ec465bfdef66e00793a110b23a1025579e8f978d84454a2ac073699b74e51be
slot_r3_large_p01,3,large,deepseek-v4-flash,deepseek_official,1,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59968,7341,59904,41.545637,0.0,25.459247,5f07eb83862a5bcb137b81eadcda366239677afbfe944bb5b241e2dfab808098
slot_r3_large_p02,3,large,deepseek-v4-flash,deepseek_official,2,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59941,2082,59904,11.975221,0.0,25.053133,54142a27795fa30a62ac7f3e35f062a5af201e347c7a610a3bd5ecc958819be9
slot_r3_large_p03,3,large,deepseek-v4-flash,deepseek_official,3,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,59902,1144,59776,8.14918,0.0,24.875462,e480861a02c956264edf3f7cb42d8fc6dfeadbacc5bb895750ea7687ad457901
slot_r3_large_p04,3,large,deepseek-v4-flash,deepseek_official,4,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60117,6658,60032,48.126429,0.0,25.169738,8538f0f6d40ccb7b3015abc24630cb0da2e6cd2d128faaa0e64b585d4d9115fa
slot_r3_large_p05,3,large,deepseek-v4-flash,deepseek_official,5,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132060,13682,131968,106.661262,45.161362,25.107611,82fe905cd274d7b1815add777b582c11ca36e357948262f93071c7c7ddcb4a68
slot_r3_large_p06,3,large,deepseek-v4-flash,deepseek_official,6,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132032,12648,131968,106.300811,41.616709,25.387411,21b7936c7ad787c436328d748bd6895ad069d32bf22c948f3e7030834ffe239b
slot_r3_large_p07,3,large,deepseek-v4-flash,deepseek_official,7,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60013,6579,59904,57.546331,0.0,25.28653,3a3de0d12496263e5ff736160e2efcc5ea65b73441208256e58b870ba82c6deb
slot_r3_large_p08,3,large,deepseek-v4-flash,deepseek_official,8,completed,1,True,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,60000,4512,59904,24.423541,0.0,24.783643,68854883eb0dafbc6de67b23dd91d2a24c02896d29c41e1a6bb0dc786878ba5f
slot_r3_large_p09,3,large,deepseek-v4-flash,deepseek_official,9,completed,2,False,True,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,132601,13946,131968,98.555635,45.117022,26.194859,4d522add8e1c8ea3d10a7ac4d1a4cc66fc412639065c870285f6ba5bbbdc2161
slot_r3_large_p10,3,large,deepseek-v4-flash,deepseek_official,10,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132155,12229,132096,95.762692,35.4755,24.416515,f45538f9796f9f1be469aaada44e37c793261882b0bb955b62c467d2992734f8
slot_r3_large_p11,3,large,deepseek-v4-flash,deepseek_official,11,completed,2,False,True,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,132207,13300,132096,103.616844,47.253215,24.774217,31946ec4dbf11b944288dd82864ef378f150ac9f9a4ade1012a49c8b1ec7eb49
