canonical_id,name,official_tier_name,official_reward_weight,custom_depth_tier_design_layer,custom_source,rename_required,divergence_flag,notes
0,collect_wood,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
15,wake_up,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
16,place_furnace,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
17,collect_coal,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
18,collect_iron,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
19,collect_diamond,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
20,make_iron_pickaxe,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official BASIC(+1). Any old 'tier3/ADVANCED' label for iron pickaxe is WRONG.
21,make_iron_sword,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
22,make_arrow,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
23,make_torch,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
24,place_torch,BASIC,1,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
25,make_diamond_sword,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official INTERMEDIATE(+3).
26,make_iron_armour,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
27,make_diamond_armour,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official INTERMEDIATE(+3).
28,enter_gnomish_mines,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
29,enter_dungeon,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
30,enter_sewers,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
31,enter_vault,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
32,enter_troll_mines,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
33,enter_fire_realm,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official VERY_ADVANCED(+8).
34,enter_ice_realm,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official VERY_ADVANCED(+8).
35,enter_graveyard,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
36,defeat_gnome_warrior,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
37,defeat_gnome_archer,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
38,defeat_orc_solider,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
39,defeat_orc_mage,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
40,defeat_lizard,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
41,defeat_kobold,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),target achievement for Stage4 eval; official ADVANCED(+5).
42,defeat_troll,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
43,defeat_deep_thing,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
44,defeat_pigman,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
45,defeat_fire_elemental,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
46,defeat_frost_troll,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
47,defeat_ice_elemental,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
48,damage_necromancer,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official VERY_ADVANCED(+8).
49,defeat_necromancer,VERY_ADVANCED,8,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official VERY_ADVANCED(+8).
50,eat_bat,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
51,eat_snail,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
52,find_bow,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
53,fire_bow,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
54,collect_sapphire,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
55,learn_fireball,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official ADVANCED(+5).
56,cast_fireball,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official ADVANCED(+5).
57,learn_iceball,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official ADVANCED(+5).
58,cast_iceball,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official ADVANCED(+5).
59,collect_ruby,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
60,make_diamond_pickaxe,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),FROZEN FACT: official INTERMEDIATE(+3).
61,open_chest,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
62,drink_potion,INTERMEDIATE,3,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
63,enchant_sword,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
64,enchant_armour,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
65,defeat_knight,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
66,defeat_archer,ADVANCED,5,NOT_AVAILABLE_LOCALLY (server: dicode_src/auction/craftax_achievements.py ACHIEVEMENT_DEPTH),ACHIEVEMENT_DEPTH (design-layer),YES -> CUSTOM_DEPTH_TIER,POSSIBLE (design-layer != official; verify on server),
